plant	plot	no.vseeds	no.aborts	pattern.6	plant.height	nectar.rew	flw.sync	neigh.2m	nearest.tree.dist.cm	fruit.set
13	1	137	120	4	188.5	9.713	0.722	8	143.0	0.749
13	1	0	130	4	188.5	9.713	0.722	8	143.0	0.749
13	1	45	300	4	188.5	9.713	0.722	8	143.0	0.749
13	1	123	150	4	188.5	9.713	0.722	8	143.0	0.749
13	1	297	2	4	188.5	9.713	0.722	8	143.0	0.749
13	1	284	3	4	188.5	9.713	0.722	8	143.0	0.749
13	1	0	120	4	188.5	9.713	0.722	8	143.0	0.749
13	1	316	24	4	188.5	9.713	0.722	8	143.0	0.749
13	1	322	10	4	188.5	9.713	0.722	8	143.0	0.749
13	1	396	3	4	188.5	9.713	0.722	8	143.0	0.749
13	1	42	74	4	188.5	9.713	0.722	8	143.0	0.749
13	1	48	50	4	188.5	9.713	0.722	8	143.0	0.749
13	1	351	18	4	188.5	9.713	0.722	8	143.0	0.749
13	1	38	1	4	188.5	9.713	0.722	8	143.0	0.749
14	1	130	80	4	108.5	7.530	0.872	15	211.5	0.606
14	1	149	7	4	108.5	7.530	0.872	15	211.5	0.606
14	1	151	4	4	108.5	7.530	0.872	15	211.5	0.606
14	1	0	50	4	108.5	7.530	0.872	15	211.5	0.606
14	1	113	8	4	108.5	7.530	0.872	15	211.5	0.606
14	1	260	2	4	108.5	7.530	0.872	15	211.5	0.606
14	1	0	45	4	108.5	7.530	0.872	15	211.5	0.606
14	1	2	10	4	108.5	7.530	0.872	15	211.5	0.606
14	1	277	40	4	108.5	7.530	0.872	15	211.5	0.606
14	1	284	6	4	108.5	7.530	0.872	15	211.5	0.606
14	1	85	40	4	108.5	7.530	0.872	15	211.5	0.606
14	1	9	50	4	108.5	7.530	0.872	15	211.5	0.606
14	1	0	3	4	108.5	7.530	0.872	15	211.5	0.606
14	1	327	100	4	108.5	7.530	0.872	15	211.5	0.606
14	1	96	43	4	108.5	7.530	0.872	15	211.5	0.606
14	1	46	36	4	108.5	7.530	0.872	15	211.5	0.606
14	1	31	160	4	108.5	7.530	0.872	15	211.5	0.606
14	1	245	130	4	108.5	7.530	0.872	15	211.5	0.606
14	1	0	130	4	108.5	7.530	0.872	15	211.5	0.606
14	1	57	65	4	108.5	7.530	0.872	15	211.5	0.606
15	1	480	15	5	103.0	5.588	0.897	9	374.0	0.740
15	1	420	20	5	103.0	5.588	0.897	9	374.0	0.740
15	1	535	25	5	103.0	5.588	0.897	9	374.0	0.740
15	1	410	35	5	103.0	5.588	0.897	9	374.0	0.740
15	1	390	60	5	103.0	5.588	0.897	9	374.0	0.740
15	1	242	200	5	103.0	5.588	0.897	9	374.0	0.740
15	1	470	47	5	103.0	5.588	0.897	9	374.0	0.740
15	1	420	25	5	103.0	5.588	0.897	9	374.0	0.740
15	1	504	19	5	103.0	5.588	0.897	9	374.0	0.740
15	1	318	3	5	103.0	5.588	0.897	9	374.0	0.740
15	1	507	23	5	103.0	5.588	0.897	9	374.0	0.740
15	1	377	10	5	103.0	5.588	0.897	9	374.0	0.740
15	1	153	4	5	103.0	5.588	0.897	9	374.0	0.740
15	1	345	9	5	103.0	5.588	0.897	9	374.0	0.740
15	1	402	8	5	103.0	5.588	0.897	9	374.0	0.740
15	1	424	16	5	103.0	5.588	0.897	9	374.0	0.740
15	1	50	30	5	103.0	5.588	0.897	9	374.0	0.740
15	1	0	35	5	103.0	5.588	0.897	9	374.0	0.740
15	1	105	135	5	103.0	5.588	0.897	9	374.0	0.740
15	1	0	100	5	103.0	5.588	0.897	9	374.0	0.740
16	1	233	60	3	63.5	6.845	0.872	18	265.0	0.855
16	1	70	120	3	63.5	6.845	0.872	18	265.0	0.855
16	1	121	125	3	63.5	6.845	0.872	18	265.0	0.855
16	1	158	130	3	63.5	6.845	0.872	18	265.0	0.855
16	1	356	12	3	63.5	6.845	0.872	18	265.0	0.855
16	1	274	44	3	63.5	6.845	0.872	18	265.0	0.855
16	1	352	16	3	63.5	6.845	0.872	18	265.0	0.855
16	1	333	14	3	63.5	6.845	0.872	18	265.0	0.855
16	1	153	45	3	63.5	6.845	0.872	18	265.0	0.855
16	1	255	30	3	63.5	6.845	0.872	18	265.0	0.855
16	1	46	170	3	63.5	6.845	0.872	18	265.0	0.855
16	1	140	37	3	63.5	6.845	0.872	18	265.0	0.855
16	1	181	96	3	63.5	6.845	0.872	18	265.0	0.855
16	1	111	4	3	63.5	6.845	0.872	18	265.0	0.855
16	1	0	80	3	63.5	6.845	0.872	18	265.0	0.855
16	1	77	80	3	63.5	6.845	0.872	18	265.0	0.855
16	1	90	60	3	63.5	6.845	0.872	18	265.0	0.855
16	1	225	5	3	63.5	6.845	0.872	18	265.0	0.855
16	1	80	120	3	63.5	6.845	0.872	18	265.0	0.855
16	1	221	22	3	63.5	6.845	0.872	18	265.0	0.855
17	1	85	45	4	64.5	6.538	0.722	18	253.0	0.655
17	1	0	55	4	64.5	6.538	0.722	18	253.0	0.655
17	1	240	30	4	64.5	6.538	0.722	18	253.0	0.655
17	1	250	80	4	64.5	6.538	0.722	18	253.0	0.655
17	1	193	13	4	64.5	6.538	0.722	18	253.0	0.655
17	1	80	7	4	64.5	6.538	0.722	18	253.0	0.655
17	1	212	6	4	64.5	6.538	0.722	18	253.0	0.655
17	1	94	70	4	64.5	6.538	0.722	18	253.0	0.655
17	1	295	15	4	64.5	6.538	0.722	18	253.0	0.655
17	1	325	15	4	64.5	6.538	0.722	18	253.0	0.655
17	1	351	3	4	64.5	6.538	0.722	18	253.0	0.655
